Birmingham, Alabama, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1930-2000
Missing: -99
Date,Value,Anomaly
193003,51.2,-3.2
193103,47.9,-6.5
193203,49.4,-5.0
193303,53.9,-0.5
193403,52.1,-2.3
193503,60.1,5.7
193603,58.4,4.0
193703,51.0,-3.4
193803,60.4,6.0
193903,57.1,2.7
194003,52.6,-1.8
194103,47.6,-6.8
194203,53.8,-0.6
194303,50.7,-3.7
194403,55.2,0.8
194503,62.3,7.9
194603,60.0,5.6
194703,46.9,-7.5
194803,57.5,3.1
194903,53.8,-0.6
195003,52.0,-2.4
195103,54.8,0.4
195203,52.6,-1.8
195303,57.9,3.5
195403,53.5,-0.9
195503,57.6,3.2
195603,53.9,-0.5
195703,51.9,-2.5
195803,49.9,-4.5
195903,52.0,-2.4
196003,44.3,-10.1
196103,56.9,2.5
196203,51.7,-2.7
196303,58.0,3.6
196403,54.0,-0.4
196503,51.1,-3.3
196603,52.7,-1.7
196703,58.7,4.3
196803,53.2,-1.2
196903,46.9,-7.5
197003,53.1,-1.3
197103,49.0,-5.4
197203,54.8,0.4
197303,59.2,4.8
197403,60.6,6.2
197503,54.1,-0.3
197603,58.9,4.5
197703,57.1,2.7
197803,51.6,-2.8
197903,56.0,1.6
198003,51.7,-2.7
198103,51.5,-2.9
198203,59.1,4.7
198303,52.1,-2.3
198403,53.5,-0.9
198503,57.8,3.4
198603,56.6,2.2
198703,55.7,1.3
198803,55.2,0.8
198903,57.4,3.0
199003,57.7,3.3
199103,56.6,2.2
199203,54.5,0.1
199303,51.1,-3.3
199403,55.3,0.9
199503,58.2,3.8
199603,51.6,-2.8
199703,60.3,5.9
199803,53.6,-0.8
199903,51.9,-2.5
200003,58.3,3.9
200103,50.0,-4.4
200203,54.8,0.4
200303,57.2,2.8
200403,58.9,4.5
200503,53.2,-1.2
200603,55.8,1.4
200703,61.1,6.7
200803,55.7,1.3
200903,57.2,2.8
201003,51.0,-3.4
201103,57.3,2.9
201203,65.6,11.2
201303,49.7,-4.7
201403,52.7,-1.7
201503,56.5,2.1
201603,59.9,5.5
201703,58.4,4.0
201803,55.3,0.9
201903,54.5,0.1
202003,63.0,8.6
